model,string_conversions,feat_types,dataset,offsets,nfeat,accuracy,precision,recall,f1_score,auc_roc,mcc
linear,"('conform', 'no_reduction')","('mat', 'protvec')",10-folds cv,"(3,)",599,0.7224039829302987,0.6013327307367555,0.6813186813186813,0.6332384124959207,0.7723727106227106,0.4205663572102207
linear,"('conform', 'no_reduction')","('mat', 'tfeat', 'protvec')",10-folds cv,"(1, 3)",1068,0.7248933143669986,0.6171702806996924,0.6571428571428571,0.6321194522529339,0.780169413919414,0.4189996741825718
linear,"('conform', 'no_reduction')","('tfeat', 'protvec')",10-folds cv,"(1, 2)",170,0.7301564722617353,0.6195571095571095,0.65,0.6313281025405608,0.7802042124542125,0.4226818255206434
linear,"('no_reduction',)","('mat', 'protvec')",10-folds cv,"(1, 2, 3)",1250,0.735348506401138,0.6473530584482596,0.6346153846153846,0.6303725701439828,0.7793131868131867,0.43562802921625626
linear,"('conform', 'no_reduction')","('mat', 'tfeat', 'protvec')",10-folds cv,"(1, 2, 3)",1527,0.7328591749644382,0.625771067168126,0.6428571428571428,0.6303074256522534,0.7844899267399267,0.42562254140303935
linear,"('conform', 'no_reduction')","('counts', 'protvec')",10-folds cv,"(1,)",177,0.719701280227596,0.5987011517893871,0.6736263736263737,0.6288029286249531,0.7702564102564102,0.4132191736265143
linear,"('conform', 'no_reduction')","('counts', 'mat', 'protvec')",10-folds cv,"(2,)",626,0.719701280227596,0.5987011517893871,0.6736263736263737,0.6288029286249531,0.7726675824175825,0.4132191736265143
linear,"('conform', 'no_reduction')","('counts', 'tfeat', 'protvec')",10-folds cv,"(2, 3)",197,0.7276671408250357,0.6085088440970794,0.6587912087912089,0.6279273344790586,0.7766648351648352,0.42067776104535926
linear,"('no_reduction',)","('mat', 'protvec')",10-folds cv,"(1, 2)",850,0.735348506401138,0.6485785486443382,0.6269230769230769,0.6278745564780047,0.7802032967032966,0.43307211379567123
linear,"('conform', 'no_reduction')","('tfeat', 'protvec')",10-folds cv,"(1, 3)",170,0.7248933143669986,0.6131943056943057,0.6505494505494506,0.6258193875840934,0.7685778388278388,0.41665995609823064
linear,"('conform', 'no_reduction')","('mat', 'tfeat', 'protvec')",10-folds cv,"(1,)",609,0.72226173541963,0.6050974025974025,0.6582417582417582,0.6255685004650522,0.7750027472527472,0.41264045302714336
linear,"('conform', 'no_reduction')","('mat', 'protvec')",10-folds cv,"(1,)",599,0.7170697012802275,0.5966773422655776,0.6664835164835164,0.6243365903655114,0.7713653846153846,0.4068151919792354
linear,"('conform', 'no_reduction')","('counts', 'mat', 'protvec')",10-folds cv,"(1, 3)",1075,0.7170697012802275,0.596201151789387,0.6664835164835166,0.6242052274755279,0.7720192307692308,0.40662797409635204
linear,"('conform', 'no_reduction')","('counts', 'mat', 'protvec')",10-folds cv,"(2, 3)",1075,0.7170697012802275,0.596201151789387,0.6664835164835166,0.6242052274755279,0.7707573260073259,0.40662797409635204
